Formatted Date,Latitude,Longitude,Country,Land Max Temperature (C),State,Temperature Uncertainty,Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),LandAndOceanAverageTemperature,Pressure (millibars),Daily Summary
2006-04-10 23:00:00.000 +0225,33.45N,3.23W,Norway,11.42,,19.452,0.8,10.8192,163,14.9569,14.191,1008.71,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0226,33.45N,3.23W,Norway,9.232,,20.145,0.79,11.0768,180,15.8263,14.918,1014.47,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0227,33.45N,3.23W,Norway,7.924,,19.628,0.82,6.6493,161,15.8263,15.844,1014.45,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0228,33.45N,3.23W,Oman,8.447,,17.702,0.83,13.0088,135,14.9569,16.297,1014.49,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0229,33.45N,3.23W,Oman,10.469,,14.69,0.85,11.1734,141,6.1985,16.62,1014.52,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0230,33.45N,3.23W,Oman,13.586,,11.444,0.83,12.8156,150,8.05,16.549,1014.16,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0231,33.45N,3.23W,Russia,17.01,,9.443,0.78,13.7494,160,9.982,16.07,1014.24,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0232,33.45N,3.23W,Russia,19.34,,8.443,0.72,15.6331,150,9.982,15.023,1014.25,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0233,33.45N,3.23W,Russia,19.886,,8.17,0.61,17.549,151,9.982,13.92,1013.96,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0234,33.45N,3.23W,Russia,19.572,,10.635,0.52,22.7815,169,9.982,13.559,1013.85,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0235,33.45N,3.23W,Sweden,17.727,,14.438,0.46,23.8924,169,9.982,13.264,1013.04,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0236,33.45N,3.23W,Sweden,15.35,,17.132,0.4,28.3682,170,9.982,13.667,1012.22,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0237,33.45N,3.23W,Sweden,11.173,,18.799,0.4,26.9031,187,10.3523,13.979,1011.44,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0238,33.45N,3.23W,Syria,8.81100000,,20.168,0.37,25.6956,179,9.982,14.804,1010.52,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0239,33.45N,3.23W,Syria,7.412,,19.598,0.4,25.3092,162,9.982,15.655,1009.83,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0240,33.45N,3.23W,Syria,8.148,,18.223,0.36,18.1125,161,10.3523,16.303,1009.26,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0241,33.45N,3.23W,Syria,10.442,,15.317,0.43,23.4255,160,9.982,16.476,1008.76,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0242,33.45N,3.23W,Syria,14.293,,12.417,0.5,20.0445,150,11.2056,16.39,1008.36,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0243,33.45N,3.23W,Ukraine,17.251,,8.639,0.53,21.3969,149,9.982,15.998,1008.11,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0244,33.45N,3.23W,Ukraine,19.445,,7.193,0.55,21.3808,159,9.982,15.126,1008.15,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0245,33.45N,3.23W,Ukraine,20.297,,9.181,0.58,20.0123,159,15.8263,13.732,1007.85,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0246,33.45N,3.23W,Ukraine,19.753,,11.377,0.59,16.5025,168,14.9569,13.196,1007.89,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0247,33.45N,3.23W,Ukraine,8.898,,13.972,0.66,17.2109,149,15.8263,13.298,1014.2,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0248,33.45N,3.23W,Ukraine,11.086,,17.415,0.8,10.8192,163,14.9569,14.191,1008.71,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0249,33.45N,3.23W,Ukraine,13.793,,19.434,0.79,11.0768,180,15.8263,14.918,1014.47,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0250,33.45N,3.23W,Ukraine,16.929,,19.897,0.82,6.6493,161,15.8263,15.844,1014.45,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0251,33.45N,3.23W,Ukraine,18.782,,19.85,0.83,13.0088,135,14.9569,16.297,1014.49,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0252,33.45N,3.23W,Ukraine,19.851,,17.818,0.85,11.1734,141,6.1985,16.62,1014.52,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0253,33.45N,3.23W,Ukraine,19.326,,15.544,0.83,12.8156,150,8.05,16.549,1014.16,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0254,33.45N,3.23W,Ukraine,17.42500000,,11.527,0.78,13.7494,160,9.982,16.07,1014.24,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0255,33.45N,3.23W,Ukraine,15.042,,9.466,0.72,15.6331,150,9.982,15.023,1014.25,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0256,33.45N,3.23W,Vietnam,11.187,,7.996,0.61,17.549,151,9.982,13.92,1013.96,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0257,33.45N,3.23W,Vietnam,8.757,,9.038,0.52,22.7815,169,9.982,13.559,1013.85,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0258,33.45N,3.23W,Vietnam,6.961,,11.476,0.46,23.8924,169,9.982,13.264,1013.04,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0259,33.45N,3.23W,Vietnam,8.18,,14.733,0.4,28.3682,170,9.982,13.667,1012.22,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0260,33.45N,3.23W,Vietnam,10.838,,17.315,0.4,26.9031,187,10.3523,13.979,1011.44,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0261,33.45N,3.23W,Vietnam,14.509,,19.315,0.37,25.6956,179,9.982,14.804,1010.52,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0262,33.45N,3.23W,Western Sahara,16.892,,20.34,0.4,25.3092,162,9.982,15.655,1009.83,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0263,33.45N,3.23W,Western Sahara,19.059,,19.898,0.36,18.1125,161,10.3523,16.303,1009.26,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0264,33.45N,3.23W,Western Sahara,19.614,,17.929,0.43,23.4255,160,9.982,16.476,1008.76,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0265,33.45N,3.23W,Western Sahara,19.471,,15.002,0.5,20.0445,150,11.2056,16.39,1008.36,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0266,33.45N,3.23W,Western Sahara,17.597,,12.043,0.53,21.3969,149,9.982,15.998,1008.11,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0267,33.45N,3.23W,Western Sahara,15.159,,9.061,0.55,21.3808,159,9.982,15.126,1008.15,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0268,33.45N,3.23W,Western Sahara,11.42,,8.797,0.58,20.0123,159,15.8263,13.732,1007.85,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0269,33.45N,3.23W,Western Sahara,9.232,,9.814,0.59,16.5025,168,14.9569,13.196,1007.89,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0270,33.45N,3.23W,Western Sahara,7.924,,11.166,0.66,17.2109,149,15.8263,13.298,1014.2,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0271,33.45N,3.23W,Western Sahara,8.447,,13.884,0.8,10.8192,163,14.9569,14.191,1008.71,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0272,33.45N,3.23W,Western Sahara,10.469,,16.986,0.79,11.0768,180,15.8263,14.918,1014.47,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0273,33.45N,3.23W,Western Sahara,13.586,,19.338,0.82,6.6493,161,15.8263,15.844,1014.45,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0274,33.45N,3.23W,Western Sahara,17.01,,20.2,0.83,13.0088,135,14.9569,16.297,1014.49,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0275,33.45N,3.23W,Western Sahara,19.34,,19.884,0.85,11.1734,141,6.1985,16.62,1014.52,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0276,33.45N,3.23W,Western Sahara,19.886,,17.897,0.83,12.8156,150,8.05,16.549,1014.16,Mostly cloudy throughout the day.
